Plasmid,Conc,Rel_GR
R1158,0,1.00207838384583
R1158,0,1.01167549440901
R1158,0,0.995730607122143
R1158,0,0.990515514623013
Tet-pdi1,0,0.866177610769015
Tet-pdi1,0,0.864203648993886
Tet-pdi1,0,0.879122735704038
Tet-pdi1,0,0.881299540261491
Tet+0.02,0.02,0.7807134300312
Tet+0.02,0.02,0.817906071656331
Tet+0.02,0.02,0.812360063299453
Tet+0.02,0.02,0.756648810713331
Tet+0.1,1,0.229062449552064
Tet+0.1,1,0.224923122086537
Tet+0.1,1,0.213412383417549
Tet+0.1,1,0.277931816453125
