ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YJR094W-A,0.0107,0.966,64.7,1.1,1.3%
YPR043W,0.0107,0.966,64.7,1.1,1.3%
YGL021W,0.0106,1.000,65.7,1.1,0.0%
YMR011W,0.0103,0.884,67.1,1.1,7.1%
YGR243W,0.0099,0.919,70.2,1.2,1.5%
YHR162W,0.0099,0.919,70.2,1.2,1.5%
YCL058W-A,0.0098,0.983,70.8,1.2,2.0%
YPL176C,0.0096,0.999,72.5,1.2,0.1%
YHR214C-B,0.0095,0.946,73.2,1.2,10.4%
YHR115C,0.0094,0.947,73.8,1.2,5.1%
YNL085W,0.0093,0.999,74.7,1.2,0.3%
YOL122C,0.0092,0.999,75.2,1.3,0.0%
YDR342C,0.0091,0.990,76.0,1.3,0.9%
YDR343C,0.0091,0.990,76.0,1.3,0.9%
YMR291W,0.0091,0.992,76.3,1.3,0.8%
YEL061C,0.0089,0.936,77.5,1.3,3.1%
YEL061C,0.0088,0.984,79.0,1.3,23.1%
YEL063C,0.0085,0.995,81.2,1.4,2.9%
YGL222C,0.0085,0.987,81.8,1.4,4.2%
YER100W,0.0083,0.999,83.1,1.4,0.1%
YGR175C,0.0083,0.997,83.3,1.4,0.6%
YLL027W,0.0083,1.000,83.3,1.4,0.0%
YLR286C,0.0083,0.976,83.4,1.4,1.8%
YPR155C,0.0083,0.875,83.5,1.4,7.3%
YCR005C,0.0082,0.956,84.1,1.4,1.3%
YJL158C,0.0082,0.972,84.5,1.4,2.0%
YER162C,0.0080,0.976,86.2,1.4,0.7%
YAL051W,0.0080,0.878,86.6,1.4,20.6%
YNL066W,0.0080,0.985,86.9,1.4,1.1%
YNR028W,0.0080,0.824,87.0,1.5,4.3%
YDL204W,0.0079,1.000,87.3,1.5,0.0%
YNL083W,0.0079,0.993,87.9,1.5,28.1%
YML060W,0.0078,0.915,89.0,1.5,9.1%
YOR264W,0.0078,0.969,89.0,1.5,18.2%
YDL008W,0.0078,0.916,89.0,1.5,9.1%
YCL064C,0.0077,0.997,90.6,1.5,0.6%
YGR260W,0.0075,0.998,92.4,1.5,0.6%
YAR027W,0.0075,0.998,92.5,1.5,0.5%
YLR300W,0.0075,0.999,92.8,1.5,0.0%
YOL011W,0.0074,0.991,93.1,1.6,5.0%
YKL137W,0.0074,0.999,94.0,1.6,0.2%
YKR093W,0.0073,0.994,94.6,1.6,0.4%
YGR191W,0.0072,0.999,95.9,1.6,0.2%
YOR157C,0.0072,0.862,96.8,1.6,65.9%
YDR236C,0.0072,0.904,96.9,1.6,15.7%
YJL094C,0.0071,0.989,97.1,1.6,1.3%
YDR461C-A,0.0071,0.999,97.1,1.6,0.5%
YKL125W,0.0070,0.927,99.6,1.7,16.3%
YBR238C,0.0069,1.000,100.1,1.7,0.1%
YBR202W,0.0069,0.999,100.4,1.7,0.1%
YBL042C,0.0068,0.990,101.8,1.7,2.0%
YIL140W,0.0068,0.997,102.5,1.7,0.7%
YDR219C,0.0068,0.995,102.5,1.7,0.2%
YDR217C,0.0066,1.000,104.6,1.7,0.2%
YIL135C,0.0065,0.998,106.9,1.8,0.8%
YOL019W,0.0065,0.965,107.2,1.8,4.1%
YHL048W,0.0064,1.000,107.5,1.8,0.0%
YGR141W,0.0064,0.991,108.8,1.8,0.9%
YHR090C,0.0063,0.999,110.0,1.8,0.4%
YHR050W,0.0063,0.995,110.4,1.8,0.6%
YBR062C,0.0062,1.000,112.1,1.9,0.0%
YDR055W,0.0062,1.000,112.2,1.9,0.9%
YKL062W,0.0061,0.997,113.0,1.9,0.8%
YDR247W,0.0061,0.984,113.2,1.9,14.2%
YLL028W,0.0060,0.997,115.6,1.9,0.8%
YAR031W,0.0059,0.993,117.1,2.0,0.7%
YDR222W,0.0059,0.941,117.6,2.0,3.6%
YDR313C,0.0058,0.982,119.1,2.0,7.4%
YIL119C,0.0058,0.942,119.3,2.0,16.8%
YGL077C,0.0058,0.995,120.0,2.0,0.1%
YBL059C-A,0.0058,0.749,120.4,2.0,33.6%
YPR075C,0.0057,0.999,120.8,2.0,0.1%
YLR036C,0.0057,0.999,121.8,2.0,0.5%
YKL184W,0.0057,0.997,121.9,2.0,0.4%
YDR186C,0.0057,0.999,121.9,2.0,0.0%
YIR033W,0.0057,0.994,122.1,2.0,1.3%
YDL157C,0.0056,0.999,123.7,2.1,0.3%
YNL047C,0.0056,0.995,124.4,2.1,1.9%
YBR078W,0.0056,0.997,124.8,2.1,0.4%
YOR034C,0.0055,0.997,126.5,2.1,0.3%
YMR015C,0.0055,0.995,126.7,2.1,0.6%
YCL036W,0.0054,0.959,127.3,2.1,16.2%
YOR081C,0.0054,0.994,127.9,2.1,1.0%
YOR368W,0.0054,0.898,128.2,2.1,62.8%
YOL082W,0.0054,0.996,128.8,2.1,0.2%
YLR056W,0.0054,0.992,128.9,2.1,0.9%
YIL117C,0.0054,0.480,129.0,2.1,100.4%
YNL295W,0.0054,0.934,129.5,2.2,5.8%
YHR195W,0.0053,0.999,130.0,2.2,0.2%
YGR246C,0.0053,0.997,130.3,2.2,0.8%
YLR390W-A,0.0052,0.993,132.7,2.2,0.8%
YIL055C,0.0052,0.990,133.0,2.2,2.6%
YLR256W,0.0052,0.940,134.0,2.2,5.7%
YLR130C,0.0052,0.992,134.1,2.2,1.0%
YBR199W,0.0052,0.999,134.1,2.2,0.3%
YML038C,0.0052,0.997,134.4,2.2,0.3%
YMR305C,0.0051,0.992,135.1,2.3,0.9%
YJL110C,0.0051,0.989,136.8,2.3,0.7%
YGL191W,0.0051,1.000,136.9,2.3,0.0%
YKL084W,0.0050,0.997,137.5,2.3,0.5%
YPL053C,0.0050,0.997,138.6,2.3,0.1%
YCR020C-A,0.0050,0.999,138.6,2.3,0.2%
YLR407W,0.0050,0.994,138.7,2.3,0.9%
YHR103W,0.0049,1.000,140.1,2.3,0.0%
YER167W,0.0049,0.858,141.9,2.4,5.8%
YNL024C,0.0049,0.995,142.5,2.4,0.3%
YMR058W,0.0048,0.986,143.9,2.4,0.6%
YDR492W,0.0048,0.999,144.1,2.4,0.0%
YAR028W,0.0048,0.997,144.4,2.4,0.9%
YBL028C,0.0048,0.995,144.5,2.4,0.6%
YBL031W,0.0048,0.962,144.7,2.4,13.1%
YBR126W-A,0.0048,0.967,144.8,2.4,1.8%
YDL010W,0.0048,0.991,145.1,2.4,0.9%
YNR018W,0.0048,0.998,145.3,2.4,1.0%
YNL078W,0.0047,0.996,146.4,2.4,0.8%
YBR085C-A,0.0047,0.976,147.3,2.5,3.1%
YDR351W,0.0047,0.994,148.1,2.5,0.1%
YDR244W,0.0047,0.997,148.2,2.5,0.9%
YJL198W,0.0047,0.995,148.4,2.5,0.9%
YGL243W,0.0047,0.994,148.7,2.5,0.5%
YBR057C,0.0046,0.995,149.8,2.5,0.9%
YMR184W,0.0046,0.996,150.7,2.5,0.7%
YBL081W,0.0046,0.987,151.6,2.5,0.5%
YJR127C,0.0046,0.998,151.6,2.5,0.2%
