ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YDR453C,0.0025,0.963,281.6,4.7,2.9%
YBR244W,0.0025,0.971,281.9,4.7,2.3%
YHR086W,0.0024,0.997,283.4,4.7,0.1%
YDR182W,0.0024,0.994,283.8,4.7,0.8%
YOR120W,0.0024,0.938,284.2,4.7,4.9%
YDR229W,0.0024,0.996,284.3,4.7,0.5%
YOR097C,0.0024,0.998,284.9,4.7,0.2%
YER148W,0.0024,0.999,285.4,4.8,0.1%
YGR250C,0.0024,0.999,285.5,4.8,0.2%
YGR058W,0.0024,1.000,286.1,4.8,0.1%
YHR135C,0.0024,0.994,286.7,4.8,0.8%
YGL066W,0.0024,0.990,287.9,4.8,0.9%
YKR006C,0.0024,0.999,288.0,4.8,0.1%
YOR304C-A,0.0024,0.999,288.1,4.8,0.2%
YHR084W,0.0024,0.999,288.7,4.8,0.1%
YGR251W,0.0024,0.984,289.0,4.8,1.0%
YCR054C,0.0024,0.972,289.0,4.8,4.0%
YNL291C,0.0024,0.998,289.0,4.8,0.3%
YPR166C,0.0024,0.995,289.1,4.8,3.0%
YBR267W,0.0024,0.998,289.4,4.8,0.2%
YDR415C,0.0024,0.990,290.2,4.8,3.8%
YAL032C,0.0024,0.998,290.2,4.8,0.2%
YER161C,0.0024,0.994,290.2,4.8,0.9%
YHR100C,0.0024,0.968,290.3,4.8,5.5%
YMR009W,0.0024,0.996,290.3,4.8,1.0%
YHR164C,0.0024,0.978,290.9,4.8,4.1%
YPR051W,0.0024,0.999,291.0,4.9,0.1%
YKR076W,0.0024,0.932,291.3,4.9,9.4%
YJR129C,0.0024,0.984,291.4,4.9,3.0%
YPL186C,0.0024,0.991,291.5,4.9,0.7%
YJL099W,0.0024,0.973,291.5,4.9,7.3%
YNL094W,0.0024,0.984,291.7,4.9,9.4%
YMR173W,0.0024,0.974,291.8,4.9,2.1%
YEL042W,0.0024,0.997,292.0,4.9,0.2%
YCR008W,0.0024,0.990,292.2,4.9,0.5%
YBR197C,0.0024,0.989,292.5,4.9,1.0%
YDL053C,0.0024,0.998,292.6,4.9,0.2%
YGL244W,0.0024,0.998,293.2,4.9,0.3%
YJL186W,0.0024,0.997,293.4,4.9,0.4%
YMR048W,0.0024,0.997,293.6,4.9,0.5%
YGR130C,0.0024,0.998,294.1,4.9,0.1%
YNL201C,0.0024,0.996,294.4,4.9,0.2%
YNL188W,0.0024,0.999,294.5,4.9,0.4%
YKL098W,0.0023,0.996,295.3,4.9,0.5%
YKL075C,0.0023,0.998,295.8,4.9,0.2%
YHR122W,0.0023,0.753,296.1,4.9,6.2%
YDL120W,0.0023,0.994,296.2,4.9,0.7%
YOR367W,0.0023,0.999,296.4,4.9,0.0%
YBR133C,0.0023,0.994,296.8,4.9,0.9%
YAL014C,0.0023,1.000,297.1,5.0,0.1%
YDR169C,0.0023,0.998,297.4,5.0,0.3%
YOR171C,0.0023,0.997,297.4,5.0,0.4%
YJL141C,0.0023,0.997,297.5,5.0,0.2%
YHR206W,0.0023,0.999,297.6,5.0,0.1%
YPL008W,0.0023,0.992,297.7,5.0,2.9%
YLR299W,0.0023,0.969,297.7,5.0,2.8%
YDR505C,0.0023,0.998,297.7,5.0,0.2%
YOR252W,0.0023,0.993,297.9,5.0,1.0%
YDR045C,0.0023,0.999,298.0,5.0,0.1%
YER138C,0.0023,0.998,298.0,5.0,0.2%
YKL005C,0.0023,0.996,298.2,5.0,0.4%
YOR098C,0.0023,0.999,298.7,5.0,0.1%
YMR112C,0.0023,0.994,298.7,5.0,1.0%
YCR042C,0.0023,0.998,298.9,5.0,0.2%
YFR049W,0.0023,0.998,300.0,5.0,0.2%
YLL013C,0.0023,0.995,300.2,5.0,0.4%
YOL060C,0.0023,0.882,300.4,5.0,4.5%
YGR138C,0.0023,1.000,300.7,5.0,0.0%
YDR325W,0.0023,1.000,300.7,5.0,0.1%
YKL087C,0.0023,0.999,301.3,5.0,0.1%
YDR519W,0.0023,0.999,301.4,5.0,0.0%
YGL216W,0.0023,0.995,301.6,5.0,0.6%
YHR147C,0.0023,0.999,302.5,5.0,0.1%
YFL050C,0.0023,0.998,302.6,5.0,0.2%
YOL130W,0.0023,0.998,302.6,5.0,0.2%
YOR195W,0.0023,0.992,302.6,5.0,0.6%
YKR020W,0.0023,0.999,302.6,5.0,0.1%
YHR205W,0.0023,0.994,302.6,5.0,0.9%
YHR118C,0.0023,0.833,303.0,5.1,6.0%
YKR085C,0.0023,0.843,303.2,5.1,5.4%
YLR034C,0.0023,0.993,303.4,5.1,1.9%
YNL309W,0.0023,0.993,303.4,5.1,0.8%
YBR028C,0.0023,0.996,303.7,5.1,0.5%
YDR016C,0.0023,0.998,303.9,5.1,0.2%
YPL190C,0.0023,0.900,304.4,5.1,7.8%
YBR280C,0.0023,0.996,304.5,5.1,6.0%
YER145C,0.0023,0.990,304.6,5.1,0.6%
YDR150W,0.0023,0.999,304.8,5.1,0.1%
YML013W,0.0023,0.995,305.2,5.1,0.3%
YMR171C,0.0023,0.964,306.3,5.1,7.1%
YOR116C,0.0023,0.999,306.6,5.1,0.1%
YGL139W,0.0023,0.986,306.7,5.1,2.4%
YOR215C,0.0023,0.999,307.5,5.1,0.1%
YER128W,0.0023,0.882,307.6,5.1,5.9%
YMR307W,0.0023,0.999,307.8,5.1,0.1%
YGL237C,0.0022,0.999,308.1,5.1,0.2%
YLR295C,0.0022,0.996,308.3,5.1,0.5%
YML011C,0.0022,1.000,309.2,5.2,0.0%
YPR158C-D,0.0022,1.000,309.7,5.2,0.0%
YDR381C-A,0.0022,0.736,309.7,5.2,8.0%
YGL075C,0.0022,0.951,310.0,5.2,511.8%
YEL052W,0.0022,0.925,310.1,5.2,4.0%
YLR211C,0.0022,0.980,310.4,5.2,3.5%
YJL057C,0.0022,0.989,310.7,5.2,1.0%
YKL051W,0.0022,0.998,311.1,5.2,0.2%
YLR271W,0.0022,0.917,312.2,5.2,7.8%
YDL043C,0.0022,0.998,312.6,5.2,0.2%
YBR220C,0.0022,0.962,313.1,5.2,7.2%
YHR051W,0.0022,0.992,313.2,5.2,1.0%
YOR089C,0.0022,0.998,313.2,5.2,0.2%
YNR053C,0.0022,0.997,313.5,5.2,0.2%
YDL102W,0.0022,0.997,313.7,5.2,0.7%
YML025C,0.0022,0.998,314.6,5.2,0.3%
YKL043W,0.0022,0.996,314.7,5.2,0.2%
YMR016C,0.0022,0.996,314.7,5.2,0.2%
YER013W,0.0022,0.999,315.1,5.3,0.3%
YFR011C,0.0022,0.999,315.4,5.3,0.1%
YPR140W,0.0022,0.998,315.4,5.3,0.9%
YGL187C,0.0022,0.998,315.9,5.3,0.3%
YOR145C,0.0022,0.995,316.1,5.3,0.4%
YIR015W,0.0022,0.740,316.4,5.3,3402.1%
YDR308C,0.0022,0.998,316.7,5.3,0.2%
YHR120W,0.0022,0.999,316.8,5.3,0.5%
YOR287C,0.0022,0.997,316.9,5.3,0.3%
YEL024W,0.0022,0.999,316.9,5.3,0.1%
YAL047C,0.0022,0.993,316.9,5.3,2.7%
YPL168W,0.0022,0.994,317.0,5.3,1.0%
YPR045C,0.0022,0.996,317.2,5.3,0.3%
YDR111C,0.0022,0.997,317.4,5.3,0.3%
YNL192W,0.0022,0.997,319.1,5.3,0.3%
YJR043C,0.0022,0.980,319.2,5.3,0.8%
YNL328C,0.0022,0.975,319.2,5.3,1.2%
YPL133C,0.0022,0.975,319.3,5.3,1.1%
YNL217W,0.0022,0.999,320.0,5.3,0.3%
YBL078C,0.0022,0.998,321.2,5.4,0.4%
YEL007W,0.0022,1.000,321.3,5.4,0.0%
YBR262C,0.0022,0.943,321.8,5.4,3.1%
YDR175C,0.0022,0.999,322.0,5.4,0.1%
YNL255C,0.0022,0.997,322.1,5.4,0.2%
YBR268W,0.0022,0.998,322.1,5.4,0.3%
YPL118W,0.0021,0.997,322.9,5.4,0.3%
YOR008C,0.0021,0.988,323.1,5.4,2.0%
YLL011W,0.0021,0.996,323.2,5.4,0.5%
YLR107W,0.0021,0.993,323.9,5.4,0.2%
YDR452W,0.0021,0.952,323.9,5.4,4.0%
YKR019C,0.0021,1.000,324.1,5.4,0.0%
YLR163C,0.0021,0.998,324.2,5.4,0.3%
YMR010W,0.0021,0.999,324.3,5.4,0.1%
YNL110C,0.0021,0.993,324.4,5.4,0.7%
YJR135W-A,0.0021,0.942,325.2,5.4,4.0%
YBL061C,0.0021,0.835,325.3,5.4,3.5%
YMR246W,0.0021,0.990,325.8,5.4,1.0%
YGR076C,0.0021,0.999,325.9,5.4,0.0%
YGL080W,0.0021,0.999,326.1,5.4,0.0%
YCR071C,0.0021,0.999,326.1,5.4,0.0%
YFL042C,0.0021,0.997,326.2,5.4,1.0%
YJL168C,0.0021,0.993,326.2,5.4,0.4%
YNL164C,0.0021,0.986,326.2,5.4,1.7%
YFR039C,0.0021,0.876,326.3,5.4,3.2%
YMR244C-A,0.0021,0.998,326.7,5.4,0.2%
YML107C,0.0021,0.985,326.9,5.4,3.5%
YOR390W,0.0021,0.993,327.3,5.5,0.5%
YPL279C,0.0021,0.993,327.3,5.5,0.5%
YJL092W,0.0021,0.998,327.7,5.5,0.3%
YJL122W,0.0021,0.995,327.7,5.5,0.4%
YJL218W,0.0021,0.986,327.8,5.5,0.6%
YDL017W,0.0021,0.986,328.1,5.5,2.7%
YGL008C,0.0021,0.995,328.1,5.5,0.3%
YPL036W,0.0021,0.995,328.1,5.5,0.3%
YDR422C,0.0021,0.994,328.8,5.5,0.5%
YDR389W,0.0021,1.000,328.9,5.5,0.0%
YAR018C,0.0021,0.999,329.0,5.5,0.1%
YOL071W,0.0021,0.998,329.2,5.5,0.3%
YLR187W,0.0021,0.994,329.5,5.5,0.4%
YNL180C,0.0021,0.998,329.5,5.5,0.2%
YOL151W,0.0021,0.952,330.0,5.5,2.9%
YER180C-A,0.0021,0.998,330.7,5.5,0.3%
YAR014C,0.0021,0.998,330.8,5.5,0.2%
YMR031C,0.0021,0.997,331.4,5.5,0.2%
YOR238W,0.0021,0.996,331.4,5.5,0.4%
YNL311C,0.0021,0.999,331.4,5.5,0.0%
YFL033C,0.0021,0.991,331.7,5.5,1.6%
YML111W,0.0021,0.991,331.8,5.5,1.1%
YDL133W,0.0021,0.998,332.9,5.5,0.3%
YNL233W,0.0021,0.993,333.1,5.6,0.7%
YMR159C,0.0021,1.000,333.1,5.6,0.1%
YGL129C,0.0021,0.997,333.1,5.6,0.4%
YDR080W,0.0021,0.991,333.7,5.6,0.8%
YIL143C,0.0021,0.997,333.8,5.6,3.7%
YDR022C,0.0021,0.993,333.8,5.6,0.7%
YIL105C,0.0021,0.995,334.0,5.6,0.7%
YMR263W,0.0021,0.997,334.2,5.6,0.7%
YPL093W,0.0021,0.998,334.3,5.6,0.1%
YPL191C,0.0021,0.989,334.4,5.6,0.8%
YLR336C,0.0021,0.998,334.4,5.6,0.3%
YJR075W,0.0021,0.996,334.6,5.6,0.2%
YLR050C,0.0021,0.904,334.9,5.6,6.1%
YGL004C,0.0021,0.993,334.9,5.6,0.4%
YLR068W,0.0021,0.996,335.2,5.6,0.5%
YKR062W,0.0021,0.998,335.3,5.6,0.2%
YJL205C,0.0021,0.997,335.4,5.6,0.1%
YDL005C,0.0021,0.999,335.6,5.6,0.1%
YGL002W,0.0021,0.997,335.7,5.6,0.4%
YOR093C,0.0021,0.956,335.8,5.6,1.6%
YKL138C,0.0021,0.995,336.0,5.6,0.7%
YDR511W,0.0021,0.996,336.2,5.6,0.7%
YDL106C,0.0021,1.000,336.4,5.6,0.0%
YDL091C,0.0021,0.962,336.5,5.6,4.4%
YOR327C,0.0021,0.998,336.6,5.6,0.2%
YPR010C,0.0021,0.998,336.7,5.6,0.2%
YNR024W,0.0021,0.998,337.0,5.6,0.2%
YNL173C,0.0021,0.993,337.2,5.6,0.3%
YDR375C,0.0021,0.982,337.9,5.6,0.8%
YER059W,0.0021,0.997,338.0,5.6,0.3%
YOR220W,0.0021,0.992,338.0,5.6,0.8%
YLR323C,0.0020,0.998,338.2,5.6,0.1%
YBL085W,0.0020,0.998,338.6,5.6,0.3%
YBR233W,0.0020,0.996,338.7,5.6,0.5%
YDR411C,0.0020,0.992,339.1,5.7,0.3%
YJL063C,0.0020,0.838,339.1,5.7,3.6%
YDL107W,0.0020,0.998,339.2,5.7,0.4%
YML037C,0.0020,0.997,339.5,5.7,0.2%
YFL041W,0.0020,0.999,339.8,5.7,0.0%
YDR532C,0.0020,0.996,340.2,5.7,0.8%
YER040W,0.0020,0.998,340.5,5.7,0.3%
YFR043C,0.0020,0.989,340.7,5.7,1.8%
YKL099C,0.0020,0.996,340.7,5.7,0.4%
YBR103W,0.0020,0.993,341.0,5.7,2.3%
YJL006C,0.0020,0.997,341.0,5.7,0.3%
YPR018W,0.0020,0.991,341.0,5.7,0.6%
YKR090W,0.0020,0.993,341.0,5.7,0.7%
YER114C,0.0020,0.994,341.9,5.7,0.8%
YOL063C,0.0020,0.993,342.9,5.7,63.0%
YFL034C-B,0.0020,0.998,343.1,5.7,0.4%
YIL014W,0.0020,0.991,343.1,5.7,0.7%
YDL202W,0.0020,0.997,343.1,5.7,0.4%
YNL224C,0.0020,0.998,343.2,5.7,0.3%
YER111C,0.0020,0.997,343.9,5.7,0.3%
YOL080C,0.0020,0.995,344.7,5.7,0.5%
YPL096W,0.0020,0.992,345.1,5.8,1.2%
YJL210W,0.0020,0.997,345.6,5.8,0.2%
YDL025C,0.0020,0.992,345.7,5.8,1.0%
YAL025C,0.0020,0.997,345.8,5.8,0.2%
YOL096C,0.0020,1.000,346.0,5.8,0.0%
YPR094W,0.0020,0.993,346.1,5.8,0.5%
YER139C,0.0020,0.999,346.5,5.8,0.1%
YNL298W,0.0020,0.993,346.6,5.8,0.8%
YDR221W,0.0020,0.996,346.9,5.8,0.5%
YLR383W,0.0020,0.999,347.1,5.8,0.0%
YJR091C,0.0020,0.997,347.2,5.8,0.5%
YDR147W,0.0020,0.999,347.3,5.8,0.0%
YJR034W,0.0020,0.999,347.3,5.8,0.1%
YPL004C,0.0020,0.993,347.5,5.8,0.3%
YPL011C,0.0020,0.998,347.5,5.8,0.4%
YGR092W,0.0020,0.998,347.8,5.8,0.3%
YNR038W,0.0020,0.901,348.5,5.8,1.9%
YGR041W,0.0020,0.996,349.1,5.8,1.5%
YPR116W,0.0020,0.999,349.4,5.8,0.2%
YNL124W,0.0020,0.998,349.4,5.8,0.2%
YIL085C,0.0020,0.994,349.7,5.8,0.7%
YHR133C,0.0020,0.994,349.8,5.8,0.7%
YDR178W,0.0020,0.997,349.8,5.8,0.1%
YLL033W,0.0020,0.998,350.2,5.8,0.2%
YFL007W,0.0020,0.999,350.5,5.8,0.0%
YMR236W,0.0020,0.998,350.9,5.8,0.2%
YDR017C,0.0020,0.994,351.0,5.8,0.7%
YMR219W,0.0020,0.997,351.3,5.9,0.4%
YAL033W,0.0020,0.996,351.4,5.9,0.5%
YGL093W,0.0020,0.990,351.4,5.9,0.3%
YPR187W,0.0020,0.983,351.7,5.9,2.2%
YGR129W,0.0020,0.998,351.7,5.9,0.6%
YKR099W,0.0020,0.998,351.8,5.9,0.6%
YIL036W,0.0020,0.996,352.3,5.9,0.2%
YEL032W,0.0020,0.998,352.8,5.9,0.3%
YML076C,0.0020,0.952,353.1,5.9,16.7%
YGL098W,0.0020,0.998,353.4,5.9,0.1%
YLR257W,0.0020,0.999,353.5,5.9,0.1%
YDR524C,0.0020,0.992,353.5,5.9,0.6%
YDR243C,0.0020,0.990,353.7,5.9,0.8%
YNL005C,0.0020,0.996,353.8,5.9,0.5%
YGR089W,0.0020,0.997,354.7,5.9,0.3%
YKR049C,0.0020,0.994,354.7,5.9,0.5%
YMR188C,0.0020,0.982,355.1,5.9,1.0%
YGR026W,0.0020,0.990,355.1,5.9,0.8%
YLR423C,0.0019,0.996,355.7,5.9,0.8%
YBR142W,0.0019,0.995,356.1,5.9,0.5%
YDR041W,0.0019,0.998,356.5,5.9,0.1%
YBR274W,0.0019,0.993,357.7,6.0,0.5%
YKR029C,0.0019,0.998,358.2,6.0,0.2%
YAL010C,0.0019,0.995,358.9,6.0,1.6%
YDR436W,0.0019,0.988,359.2,6.0,4.1%
YML055W,0.0019,0.815,359.2,6.0,4.7%
YGR184C,0.0019,0.774,359.3,6.0,4.8%
YPL043W,0.0019,0.997,359.9,6.0,0.2%
YIL093C,0.0019,0.997,359.9,6.0,0.4%
YGR276C,0.0019,0.997,359.9,6.0,0.3%
YGL006W,0.0019,0.943,360.1,6.0,2.5%
YPL078C,0.0019,0.997,360.3,6.0,0.4%
YER019C-A,0.0019,0.998,360.3,6.0,0.1%
YDR166C,0.0019,0.998,360.5,6.0,0.3%
YPL137C,0.0019,0.996,360.6,6.0,0.2%
YIL161W,0.0019,0.999,360.7,6.0,0.1%
YMR193W,0.0019,0.872,360.9,6.0,2.4%
YML081W,0.0019,0.912,360.9,6.0,2.6%
YJL047C,0.0019,0.999,361.1,6.0,0.3%
YBR097W,0.0019,0.990,361.4,6.0,1.6%
YLR422W,0.0019,0.996,362.5,6.0,0.4%
YPR037C,0.0019,0.999,362.5,6.0,0.1%
YJR122W,0.0019,0.998,363.1,6.1,0.5%
YHR132W-A,0.0019,0.998,363.4,6.1,0.2%
YJL139C,0.0019,0.995,364.2,6.1,0.7%
YER087W,0.0019,0.996,364.7,6.1,0.7%
YJR113C,0.0019,1.000,365.0,6.1,0.0%
YGR165W,0.0019,0.933,365.0,6.1,2.3%
YLR139C,0.0019,0.860,365.3,6.1,3.4%
YPL103C,0.0019,0.997,365.3,6.1,0.5%
YLR009W,0.0019,0.979,365.3,6.1,0.4%
YCR094W,0.0019,0.997,365.5,6.1,0.3%
YKL105C,0.0019,0.999,365.7,6.1,0.2%
YDL140C,0.0019,0.998,365.8,6.1,0.2%
YIL147C,0.0019,0.956,365.9,6.1,1.7%
YPL006W,0.0019,0.999,365.9,6.1,0.1%
YDR180W,0.0019,0.999,366.0,6.1,0.2%
YKL055C,0.0019,0.993,366.0,6.1,1.1%
YGR241C,0.0019,0.998,366.0,6.1,0.0%
YER002W,0.0019,0.998,366.1,6.1,0.2%
YOR356W,0.0019,0.998,366.3,6.1,0.2%
YMR234W,0.0019,0.995,366.3,6.1,0.7%
YLR072W,0.0019,0.996,366.8,6.1,0.5%
YIL064W,0.0019,0.997,367.1,6.1,0.3%
YOR129C,0.0019,0.994,367.1,6.1,0.6%
YNL068C,0.0019,0.998,367.3,6.1,0.3%
YNL166C,0.0019,0.997,367.4,6.1,0.3%
YKL219W,0.0019,0.993,367.5,6.1,0.1%
YMR078C,0.0019,0.998,368.4,6.1,0.1%
YOL086C,0.0019,0.994,368.5,6.1,0.5%
YGL226C-A,0.0019,0.998,368.8,6.1,0.1%
YIL088C,0.0019,0.994,368.9,6.1,0.6%
YBR141C,0.0019,0.997,369.1,6.2,0.5%
YDL044C,0.0019,0.996,369.4,6.2,0.5%
YKL053C-A,0.0019,1.000,369.5,6.2,0.0%
YLL022C,0.0019,0.991,369.8,6.2,1.0%
YPR112C,0.0019,0.998,369.8,6.2,0.2%
YDR440W,0.0019,0.998,369.9,6.2,0.3%
YMR158W,0.0019,0.998,370.7,6.2,0.2%
YGL027C,0.0019,0.994,370.8,6.2,0.3%
YLR032W,0.0019,0.996,370.8,6.2,0.8%
YEL048C,0.0019,0.990,371.0,6.2,0.7%
YJR104C,0.0019,0.993,371.1,6.2,0.5%
YER143W,0.0019,0.997,371.9,6.2,0.2%
YPR171W,0.0019,0.994,372.6,6.2,0.7%
YLR176C,0.0019,0.986,372.7,6.2,2.5%
YJL062W,0.0019,0.976,372.7,6.2,2.6%
YPL271W,0.0019,0.999,373.9,6.2,0.2%
YDR377W,0.0019,0.999,374.0,6.2,0.1%
YOR040W,0.0019,0.971,374.2,6.2,4.3%
YNL310C,0.0019,0.999,374.3,6.2,0.1%
YDR128W,0.0019,0.998,374.4,6.2,0.3%
YIL079C,0.0019,0.998,374.5,6.2,0.1%
YBL004W,0.0018,0.998,374.7,6.2,0.2%
YLR363C,0.0018,0.997,374.7,6.2,0.2%
YCL032W,0.0018,0.995,374.9,6.2,0.7%
YGL091C,0.0018,0.999,375.1,6.3,0.1%
YDR052C,0.0018,1.000,375.3,6.3,0.0%
YDR079C-A,0.0018,1.000,375.5,6.3,0.0%
YGR084C,0.0018,0.990,375.9,6.3,1.2%
YLR454W,0.0018,0.994,376.4,6.3,0.9%
YPR154W,0.0018,0.999,376.9,6.3,0.1%
YAL036C,0.0018,0.996,376.9,6.3,0.3%
YKL170W,0.0018,0.999,377.1,6.3,0.1%
YJL062W-A,0.0018,0.996,377.1,6.3,0.5%
YMR233W,0.0018,0.992,377.2,6.3,0.9%
YLR097C,0.0018,0.990,377.4,6.3,0.5%
YEL043W,0.0018,0.998,377.5,6.3,0.2%
YCL057C-A,0.0018,0.998,377.8,6.3,0.2%
YDL193W,0.0018,0.996,378.3,6.3,0.3%
YDR345C,0.0018,0.995,378.7,6.3,0.3%
YBL036C,0.0018,0.986,378.9,6.3,1.6%
YNL072W,0.0018,0.996,379.0,6.3,0.7%
YKL061W,0.0018,0.997,379.0,6.3,0.1%
YMR128W,0.0018,0.999,379.2,6.3,0.0%
YJR011C,0.0018,0.994,379.4,6.3,0.8%
YIL010W,0.0018,0.999,379.5,6.3,0.2%
YLR272C,0.0018,0.998,379.5,6.3,0.3%
YKL008C,0.0018,0.999,379.7,6.3,6.9%
YDR107C,0.0018,1.000,380.1,6.3,1.3%
YNL141W,0.0018,0.995,380.3,6.3,0.3%
YHR059W,0.0018,1.000,380.4,6.3,0.0%
YER092W,0.0018,0.999,380.5,6.3,0.1%
YHR165C,0.0018,0.990,380.9,6.3,1.5%
YLR387C,0.0018,0.999,381.0,6.3,0.1%
YGR086C,0.0018,0.996,381.6,6.4,0.4%
YPL029W,0.0018,0.997,381.9,6.4,0.3%
YDL156W,0.0018,0.996,382.2,6.4,0.4%
YPL173W,0.0018,0.870,382.3,6.4,2.4%
YMR270C,0.0018,0.998,382.5,6.4,0.2%
YDL240W,0.0018,0.994,382.5,6.4,0.8%
YDL042C,0.0018,0.979,382.6,6.4,1.0%
YKR078W,0.0018,0.990,383.4,6.4,1.4%
YBR185C,0.0018,0.997,383.5,6.4,1.1%
YMR114C,0.0018,0.999,383.7,6.4,0.1%
R0020C,0.0018,0.989,383.7,6.4,1.2%
YKL112W,0.0018,0.997,383.8,6.4,0.3%
YPL020C,0.0018,0.995,384.1,6.4,0.2%
YMR037C,0.0018,0.999,384.3,6.4,0.1%
YDR195W,0.0018,0.996,384.5,6.4,0.5%
YNL214W,0.0018,0.994,384.7,6.4,0.8%
YOR158W,0.0018,0.993,384.8,6.4,0.3%
YCR066W,0.0018,0.988,384.9,6.4,0.7%
YBR258C,0.0018,0.988,385.0,6.4,1.5%
YER017C,0.0018,0.990,385.2,6.4,0.7%
YCL017C,0.0018,0.998,385.9,6.4,0.2%
YGR024C,0.0018,0.998,386.0,6.4,0.3%
YAL049C,0.0018,0.989,386.2,6.4,0.6%
YOL004W,0.0018,0.999,386.2,6.4,0.1%
YJL180C,0.0018,0.998,386.4,6.4,0.2%
YLR007W,0.0018,0.995,386.9,6.4,0.8%
YPL232W,0.0018,0.995,387.0,6.4,0.5%
YOR233W,0.0018,0.997,387.1,6.5,0.2%
YNR011C,0.0018,0.999,387.2,6.5,0.1%
YCL010C,0.0018,0.997,387.3,6.5,0.4%
YNL116W,0.0018,0.996,387.4,6.5,0.6%
YPL270W,0.0018,0.995,387.5,6.5,0.4%
YBR140C,0.0018,0.997,387.5,6.5,0.1%
YBL033C,0.0018,0.998,387.5,6.5,0.1%
YBR275C,0.0018,0.992,387.7,6.5,1.2%
YDR137W,0.0018,0.998,387.7,6.5,0.2%
YLR382C,0.0018,0.988,387.9,6.5,2.0%
YOL088C,0.0018,0.988,387.9,6.5,0.9%
YOR054C,0.0018,0.990,387.9,6.5,5.8%
YOR108W,0.0018,0.971,387.9,6.5,3.4%
YKL082C,0.0018,0.998,388.2,6.5,0.1%
YAL059W,0.0018,0.996,388.3,6.5,0.2%
YLR082C,0.0018,0.997,388.7,6.5,0.1%
YPL104W,0.0018,0.996,388.9,6.5,0.4%
YGL174W,0.0018,0.994,389.0,6.5,1.0%
YOR320C,0.0018,0.995,389.0,6.5,0.2%
YGR145W,0.0018,0.998,389.1,6.5,0.1%
YOR359W,0.0018,0.999,389.2,6.5,0.1%
YMR014W,0.0018,0.994,389.4,6.5,0.6%
YAL053W,0.0018,0.999,389.5,6.5,0.1%
YDL105W,0.0018,0.998,389.6,6.5,0.2%
YBR106W,0.0018,0.997,389.8,6.5,0.3%
YDR356W,0.0018,0.997,390.0,6.5,0.3%
YKL121W,0.0018,0.996,390.1,6.5,0.7%
YGL055W,0.0018,0.986,390.3,6.5,0.7%
YHR166C,0.0018,0.991,390.5,6.5,1.8%
YKL032C,0.0018,0.998,390.6,6.5,0.2%
YDR297W,0.0018,0.993,390.6,6.5,0.7%
YKL078W,0.0018,0.995,390.7,6.5,0.9%
YIL136W,0.0018,0.989,390.9,6.5,0.5%
YDR371W,0.0018,0.999,391.3,6.5,0.2%
YDL128W,0.0018,0.998,391.4,6.5,0.2%
YMR052W,0.0018,1.000,391.9,6.5,0.1%
YPR021C,0.0018,0.999,392.0,6.5,0.1%
YKR031C,0.0018,0.976,392.0,6.5,3.7%
YOR076C,0.0018,0.994,392.1,6.5,0.3%
YDL121C,0.0018,0.998,392.3,6.5,0.1%
YHR199C-A,0.0018,0.967,392.4,6.5,3.7%
YKL134C,0.0018,0.998,392.5,6.5,0.1%
YLR240W,0.0018,0.970,392.8,6.5,2.6%
YDL174C,0.0018,0.999,393.8,6.6,0.1%
YAL060W,0.0018,0.994,393.8,6.6,0.4%
YNR067C,0.0018,0.986,393.8,6.6,2.0%
YNR010W,0.0018,0.724,393.8,6.6,9.2%
YPR023C,0.0018,0.999,394.0,6.6,0.1%
YIR007W,0.0018,1.000,394.3,6.6,0.0%
YOL041C,0.0018,0.996,394.6,6.6,0.4%
YMR073C,0.0018,0.999,395.0,6.6,0.1%
YNL107W,0.0018,0.961,395.0,6.6,2.1%
YKR025W,0.0018,0.988,395.1,6.6,0.5%
YML021C,0.0018,0.994,395.5,6.6,0.6%
YJR048W,0.0018,0.997,395.5,6.6,0.1%
YOR181W,0.0017,0.875,396.2,6.6,6.5%
YKL042W,0.0017,0.993,396.3,6.6,0.8%
YJL071W,0.0017,0.999,396.4,6.6,0.1%
YBR024W,0.0017,0.999,396.4,6.6,0.3%
YCR046C,0.0017,0.998,396.4,6.6,0.1%
YIL007C,0.0017,0.715,396.7,6.6,538.9%
YER169W,0.0017,0.997,396.7,6.6,0.2%
YOL078W,0.0017,0.994,396.8,6.6,0.6%
YNL075W,0.0017,0.998,396.9,6.6,0.1%
YOR151C,0.0017,0.999,396.9,6.6,0.1%
YMR189W,0.0017,0.998,397.5,6.6,0.2%
YPL082C,0.0017,0.976,397.7,6.6,0.9%
YBR092C,0.0017,0.999,398.1,6.6,0.1%
YBR093C,0.0017,0.999,398.1,6.6,0.1%
YLR430W,0.0017,0.895,398.2,6.6,4.8%
YAR033W,0.0017,1.000,398.6,6.6,0.1%
YGL051W,0.0017,1.000,398.6,6.6,0.1%
YBR120C,0.0017,0.994,398.8,6.6,0.6%
YPL204W,0.0017,0.998,398.9,6.6,0.2%
YMR218C,0.0017,0.996,399.2,6.7,1.3%
YOL133W,0.0017,0.997,399.2,6.7,0.7%
YBR194W,0.0017,0.991,399.5,6.7,3.0%
YOR236W,0.0017,0.992,399.8,6.7,0.8%
YIL130W,0.0017,0.997,399.8,6.7,0.4%
YLR316C,0.0017,0.992,399.9,6.7,0.8%
