Gene
Ccw12
Ccw14
Crh1
Utr2
Cwp1
Cwp2
Ecm33
Exg2
Gas1
Gas3
Gas5
Mkc7
Plb2
Pry3
Pst1
Pir1
Hsp150
Pir3
Cis3
Scw4
Scw10
Tos1
Bgl2
Tdh3
Ssa1
