Gene
YOP1
MSC1
RTN2
RTN1
ODPX
TBA3
QOR
PEX30
ERO1
YNL208W 
GSF2
DPM1
RL17b
POM33
KAPR
PGA3
SHS1
TCB3
NVJ2
ERG26
PHO88
ZEO1
PHO86
FMP52
SCS2
YDL121C
ERV25
ERP2
VPS60
YPT32
LSB3
YET3
LCB2
YIM1
YET1
PSS_
ERG9
SEY1
YN8B
YMR209C
FBRL
CLC1
GPT2
VPS17
YBL086C
EMP47
TSL1
EMC1
VTC2
DBP2
CDC10
EMC2
SRP68
MSC3
TAF6
UPP
SRP40
TVP18
TCB2
SMF2
TBA1
CALM
AHA1
HSP26
VPS21
SCP160
ERF1
CUE1
ATC3
ERG27
EMC4
BMH2
TCB1
ECM21
NOP56
YG3L
YPT6
SNF7
SAC1
